Date,Open,High,Low,Close,Adj Close,Volume
2016-07-21,1050.000000,1050.000000,1034.666626,1038.366699,935.943176,1678212
2016-07-22,1040.066650,1051.933350,1035.033325,1049.333374,945.828064,1877206
2016-07-25,1048.000000,1059.199951,1042.000000,1057.266724,952.978882,2209774
2016-07-26,1059.000000,1065.333374,1054.066650,1061.800049,957.065002,1729183
2016-07-27,1064.199951,1076.666626,1057.766724,1068.099976,962.743408,2467012
2016-07-28,1069.333374,1071.066650,1040.933350,1051.500000,947.780884,2811580
2016-07-29,1060.000000,1062.300049,1033.333374,1039.233276,936.724121,4228011
2016-08-01,1039.366699,1057.333374,993.333313,995.799988,897.575073,9155449
2016-08-02,997.333313,1009.200012,993.500000,1002.233337,903.373962,2410914
2016-08-03,1005.333313,1011.433350,980.333313,985.733337,888.501465,2619658
2016-08-04,997.333313,997.333313,973.599976,979.433350,882.822876,2254336
2016-08-05,986.900024,1011.166687,985.333313,1008.133362,908.691956,2805628
2016-08-08,1013.333313,1016.433350,998.066650,1004.766663,905.657349,1403923
2016-08-09,1006.599976,1006.666687,991.599976,1000.633362,901.931641,1865400
2016-08-10,1000.900024,1002.666687,984.233337,988.799988,891.265564,1683261
2016-08-11,983.366638,986.000000,975.233337,983.133362,886.157898,2240371
2016-08-12,986.000000,1003.799988,985.666687,994.599976,896.493530,1659132
2016-08-16,995.966675,1008.433350,981.333313,1004.233337,905.176575,2610843
2016-08-17,1002.500000,1009.500000,994.000000,1001.666687,902.863159,1384653
2016-08-18,994.000000,999.133362,986.666687,988.066650,901.555237,1780732
2016-08-19,992.000000,998.000000,986.433350,996.233337,909.006836,1392250
2016-08-22,996.666687,1002.666687,986.000000,995.099976,907.972778,1837995
2016-08-23,995.099976,996.466675,975.466675,984.766663,898.544189,1273489
2016-08-24,983.333313,992.299988,976.700012,982.333313,896.323914,1230627
2016-08-25,984.066650,988.866638,967.000000,969.766663,884.857605,2616154
2016-08-26,970.000000,973.299988,946.933350,951.466675,868.159912,2788650
2016-08-29,954.666687,975.833313,946.133362,973.000000,887.807739,2094229
2016-08-30,978.666687,985.200012,971.900024,983.766663,897.631836,2598309
2016-08-31,983.333313,1011.966675,980.200012,1008.633362,920.321228,4152240
2016-09-01,1008.666687,1011.700012,1001.366638,1004.733337,916.762634,1905766
2016-09-02,1004.733337,1008.333313,991.200012,1003.366638,915.515625,1755505
2016-09-06,1008.133362,1016.166687,1002.099976,1010.933350,922.419800,1960860
2016-09-07,1015.133362,1027.633301,1006.666687,1012.166687,923.545227,2648263
2016-09-08,1017.033325,1030.633301,1014.099976,1026.333374,936.471497,1692184
2016-09-09,1026.666626,1027.400024,1006.666687,1011.799988,923.210632,2262933
2016-09-12,992.000000,994.400024,973.266663,975.466675,890.058472,1953571
2016-09-14,975.466675,988.000000,970.733337,983.533325,897.418823,1718754
2016-09-15,983.400024,984.700012,971.433350,980.166687,894.346985,1126282
2016-09-16,984.733337,999.333313,979.000000,982.133362,896.141479,2112271
2016-09-19,984.000000,993.333313,976.000000,986.533325,900.156189,942540
2016-09-20,985.333313,989.566650,979.033325,983.966675,897.814270,1097205
2016-09-21,986.666687,991.933350,977.533325,981.400024,895.472412,1337071
2016-09-22,993.333313,1002.666687,984.666687,999.966675,912.413330,1952950
2016-09-23,1003.333313,1011.666687,993.733337,998.000000,910.618835,3121780
2016-09-26,994.666687,1007.966675,974.400024,977.133362,891.579224,2122144
2016-09-27,980.033325,984.200012,954.299988,957.599976,873.756104,2819209
2016-09-28,961.333313,978.000000,958.966675,970.599976,885.617920,2393218
2016-09-29,974.400024,979.333313,946.966675,958.400024,874.486145,3040345
2016-09-30,956.666687,960.366638,941.000000,955.433350,871.779175,3497865
2016-10-03,958.700012,983.166687,956.799988,980.466675,894.620728,2181718
2016-10-04,984.533325,986.366638,962.233337,966.099976,881.511841,2289637
2016-10-05,973.333313,974.599976,960.766663,969.299988,884.431763,2059848
2016-10-06,976.000000,978.299988,964.000000,969.666687,884.766296,1627375
2016-10-07,968.666687,973.266663,960.666687,971.299988,886.256592,1098751
2016-10-10,973.966675,976.933350,964.700012,966.666687,882.028992,875911
2016-10-13,959.266663,965.000000,954.200012,958.933350,874.972656,2659995
2016-10-14,962.666687,984.933350,959.066650,983.233337,897.145142,2632323
2016-10-17,983.266663,984.666687,960.666687,965.299988,880.781921,2140920
2016-10-18,971.799988,994.599976,967.366638,992.166687,905.296265,1983013
2016-10-19,992.166687,1000.666687,984.033325,994.033325,906.999512,2146896
2016-10-20,997.333313,1005.000000,988.366638,1002.433350,914.664063,1502340
2016-10-21,1002.666687,1009.400024,995.400024,1007.233337,919.043762,1670799
2016-10-24,1011.099976,1013.333313,991.200012,995.099976,907.972778,1517035
2016-10-25,996.666687,999.566650,985.799988,989.400024,902.771912,838206
2016-10-26,986.466675,992.666687,980.366638,988.200012,901.676941,867619
2016-10-27,986.500000,988.599976,971.400024,983.533325,897.418823,2440678
2016-10-28,980.666687,989.933350,975.333313,987.133362,900.703674,1212981
2016-11-01,987.333313,987.366638,973.333313,975.433350,890.028076,947158
2016-11-02,965.200012,970.000000,957.666687,965.766663,881.207825,1493443
2016-11-03,961.433350,977.766663,961.333313,962.799988,878.500916,1411942
2016-11-04,951.266663,956.266663,931.266663,946.533325,863.658447,18639006
2016-11-07,950.000000,954.466675,928.233337,932.000000,850.397522,2158653
2016-11-08,937.000000,937.333313,922.666687,931.466675,849.911011,1881726
2016-11-09,880.000000,939.400024,863.400024,926.966675,845.804993,4757398
2016-11-10,933.700012,951.333313,933.700012,941.400024,858.974609,2766432
2016-11-11,931.266663,939.333313,924.000000,925.866638,844.801270,2518285
2016-11-15,919.333313,938.333313,908.833313,913.533325,833.547852,3958053
2016-11-16,924.866638,925.533325,900.666687,917.033325,836.741333,3299710
2016-11-17,918.799988,922.666687,906.666687,914.000000,833.973572,1377642
2016-11-18,914.666687,921.566650,907.333313,913.633362,833.639099,1654947
2016-11-21,919.133362,919.133362,893.333313,898.599976,819.921875,1962840
2016-11-22,905.500000,906.666687,869.666687,886.366638,808.759644,3084870
2016-11-23,904.666687,923.333313,898.666687,904.833313,825.609497,7493139
2016-11-24,902.599976,910.599976,893.333313,899.766663,820.986511,4315369
2016-11-25,905.200012,916.799988,890.933350,913.799988,833.791138,3065824
2016-11-28,913.633362,914.799988,900.000000,904.633362,825.427063,1777818
2016-11-29,904.666687,913.133362,899.366638,901.633362,822.689758,1741327
2016-11-30,910.000000,927.500000,900.000000,921.833313,841.121094,4335631
2016-12-01,924.266663,935.000000,915.200012,925.566650,844.527527,2151997
2016-12-02,918.666687,919.733337,906.000000,907.900024,828.407654,1217827
2016-12-05,906.799988,909.866638,899.400024,904.099976,824.940430,1062822
2016-12-06,905.433350,916.000000,905.200012,908.099976,828.590149,1771909
2016-12-07,912.000000,916.733337,900.000000,902.533325,823.510925,1557765
2016-12-08,910.099976,917.166687,907.866638,911.299988,831.509888,1388842
2016-12-09,915.266663,915.533325,904.666687,908.133362,828.620667,1211254
2016-12-12,906.666687,916.599976,904.066650,909.966675,830.293457,1636279
2016-12-13,910.666687,919.266663,910.133362,917.133362,836.832642,2168125
2016-12-14,921.266663,921.266663,904.733337,906.633362,827.251953,1360938
2016-12-15,899.833313,911.400024,899.333313,904.566650,825.366211,900523
2016-12-16,904.200012,909.666687,901.366638,907.066650,827.647278,1577425
2016-12-19,905.000000,906.000000,894.366638,896.633362,818.127502,1148169
2016-12-20,896.666687,907.466675,896.099976,903.666687,824.545044,1177779
2016-12-21,905.466675,907.033325,893.333313,894.666687,816.332947,950224
2016-12-22,893.833313,896.000000,874.700012,876.433350,799.696167,1357563
2016-12-23,877.166687,894.666687,868.333313,891.633362,813.565247,2136648
2016-12-26,890.400024,896.666687,878.900024,891.733337,813.656555,1198728
2016-12-27,893.333313,906.333313,886.066650,903.733337,824.605774,1222356
2016-12-28,904.666687,908.833313,897.333313,899.966675,821.168945,1294264
2016-12-29,894.366638,902.666687,886.933350,892.799988,814.629822,2010627
2016-12-30,896.666687,903.666687,896.000000,899.400024,820.651978,1280979
2017-01-02,904.033325,912.666687,899.433350,906.400024,827.039063,1476811
2017-01-03,906.666687,916.666687,901.466675,911.466675,831.662048,1363398
2017-01-04,916.666687,920.900024,913.666687,917.733337,837.380005,2144739
2017-01-05,921.500000,930.000000,918.666687,928.200012,846.930298,2781498
2017-01-06,930.000000,935.799988,925.066650,927.299988,846.109131,1462912
2017-01-09,928.000000,931.966675,917.799988,920.433350,839.843628,819484
2017-01-10,920.166687,930.000000,918.366638,925.000000,844.010437,1359729
2017-01-11,932.000000,945.233337,930.000000,941.566650,859.126587,1514451
2017-01-12,943.266663,969.533325,942.666687,966.233337,881.633484,2707455
2017-01-13,973.333313,973.333313,954.799988,959.166687,875.185669,1400770
2017-01-16,956.666687,966.666687,954.866638,961.866638,877.649231,1052802
2017-01-17,960.000000,973.299988,960.000000,963.833313,879.443665,1423840
2017-01-18,964.000000,979.333313,964.000000,968.299988,883.519287,1538178
2017-01-19,968.666687,975.333313,963.366638,966.299988,881.694458,1019914
2017-01-20,966.299988,969.266663,940.666687,943.166687,860.586548,2177485
2017-01-23,941.333313,942.000000,921.266663,929.033325,847.690674,3534069
2017-01-24,932.166687,949.333313,932.000000,946.533325,863.658447,1879687
2017-01-25,949.866638,969.333313,946.933350,966.500000,881.876892,2294773
2017-01-27,967.366638,980.166687,955.566650,959.933350,875.885254,1871125
2017-01-30,962.000000,978.000000,958.666687,961.866638,877.649231,2601585
2017-01-31,960.000000,970.000000,951.333313,964.166687,879.747803,1894153
2017-02-01,965.299988,996.566650,964.200012,993.500000,906.512878,3577633
2017-02-02,994.400024,996.000000,980.200012,984.333313,898.148743,2257914
2017-02-03,984.333313,992.000000,971.333313,987.133362,900.703674,1650459
2017-02-06,990.000000,1000.000000,986.266663,989.200012,902.589417,1526715
2017-02-07,986.799988,1003.200012,981.433350,1000.200012,912.626282,2499546
2017-02-08,1003.200012,1007.333313,992.833313,1004.566650,916.610474,1689792
2017-02-09,1005.333313,1007.233337,984.266663,993.799988,906.786621,1529256
2017-02-10,996.833313,1005.433350,994.833313,1001.299988,913.629944,1300986
2017-02-13,1003.700012,1006.000000,987.700012,1000.099976,912.534912,930046
