Date,Open,High,Low,Close,Adj Close,Volume
2016-07-21,202.087555,204.300049,202.087555,203.250046,199.874084,3851740
2016-07-22,202.500046,202.875046,200.625046,201.656296,198.306778,3665012
2016-07-25,201.637543,203.887543,200.625046,203.568802,200.187546,1954271
2016-07-26,203.250046,206.531296,202.856293,204.787552,201.386032,4376102
2016-07-27,204.787552,207.281296,203.456299,205.931305,202.510773,3767543
2016-07-28,205.237549,208.781296,204.000046,207.675049,204.225571,3063732
2016-07-29,207.112549,207.375046,203.493805,204.393799,200.998810,3717561
2016-08-01,204.393799,210.656296,204.375046,209.137558,205.663788,6061851
2016-08-02,209.250046,209.625046,205.500046,206.100052,202.676727,3108164
2016-08-03,205.500046,208.181305,205.050049,205.481308,202.068283,3851959
2016-08-04,205.425049,207.000046,204.506302,205.575058,202.160461,3066052
2016-08-05,204.731308,207.187546,204.600052,205.200058,201.791687,1554311
2016-08-08,204.843796,207.318802,204.843796,205.875046,202.455475,2734255
2016-08-09,205.387558,207.187546,204.862549,206.756302,203.322083,2338458
2016-08-10,206.250046,206.625046,202.518799,203.493805,200.113785,1684887
2016-08-11,202.837555,205.331299,202.500046,203.625046,200.242844,1332802
2016-08-12,202.687546,206.062546,202.687546,203.906296,200.519409,2081735
2016-08-16,203.906296,204.750046,200.550049,201.187546,197.845825,2469532
2016-08-17,201.262543,201.806305,197.475052,197.925049,194.637497,2650228
2016-08-18,198.731293,198.768799,196.200043,196.912552,193.641830,2425866
2016-08-19,197.587555,198.675049,194.643799,195.037552,191.797989,2751892
2016-08-22,194.250046,195.000046,192.937546,193.312546,190.101624,2711428
2016-08-23,193.218796,195.187546,193.125046,194.850052,191.613602,3078009
2016-08-24,195.037552,195.750046,193.893799,194.868805,191.632019,2793567
2016-08-25,195.375046,195.468796,188.343796,189.000046,185.860779,12899031
2016-08-26,189.000046,189.768799,183.000046,183.750046,180.697952,8849285
2016-08-29,184.125046,184.331299,178.912537,179.550049,176.567719,13588332
2016-08-30,179.587540,183.918793,179.306290,183.543793,180.495132,12082786
2016-08-31,184.425049,186.000046,182.343796,184.368790,181.306412,7496072
2016-09-01,183.637543,183.637543,180.562546,181.481293,178.466873,5302436
2016-09-02,181.500046,182.081299,179.737549,181.350052,178.337830,4305604
2016-09-06,181.875046,182.025040,180.000046,181.087540,178.079681,4245526
2016-09-07,182.925049,183.656296,180.018799,180.656296,177.655609,5726531
2016-09-08,178.875046,179.868790,176.325043,177.731293,174.779160,5945929
2016-09-09,179.100037,181.125046,177.862549,180.243790,177.249939,5056553
2016-09-12,178.050049,181.275040,177.056290,180.150040,177.157745,5034214
2016-09-14,181.687546,181.856293,178.443787,179.268799,176.291168,4913193
2016-09-15,179.925049,179.925049,177.843796,179.418793,176.438644,4838990
2016-09-16,180.487549,180.862549,179.250046,179.775040,176.788971,6162142
